Старый УРЛ;Новый УРЛ;Тип устройства;Время работы;Цена;Новый title;Основное название;Синонимы;;;;;;;;;;
remont-korpusa;zamena-korpusa;Планшет;60;900;Замена корпуса на планшете [model] в [city]: ремонт корпуса от [name];Замена корпуса;Ремонт корпуса;Восстановление корпуса;Ремонт корпусных элементов;;;;p;zamena-batarei;90;15;30
remont-dinamika;zamena-dinamika;Планшет;30;500;Замена динамика на планшете [model] в [city]: ремонт динамика от [name];Замена динамика;Ремонт динамика;;;;;;p;zamena-gnezda-pitaniya;790;60;90
remont-kryshki;zamena-zadnej-kryshki;Планшет;60;800;Замена задней крышки на планшете [model] в [city]: замена крышки от [name];Замена задней крышки;Замена крышки;Замена задней панели;;;;;p;zamena-kamery;590;45;60
remont-simholdera;zamena-derzhatelya-sim;Планшет;45;800;Замена держателя сим на планшете [model] в [city]: замена сим лотка от [name];Замена держателя сим;Замена сим лотка;Ремонт держателя сим;Ремонт сим лотка;;;;p;zamena-mikrofona;490;30;45
remont-knopki;zamena-knopki-vklyucheniya;Планшет;45;800;Замена кнопки включения на планшете [model] в [city]: замена кнопки от [name];Замена кнопки включения;Замена кнопки;Ремонт кнопки включения;Ремонт кнопки;;;;p;zamena-korpusa;890;60;90
remont-gps;zamena-gps;Планшет;45;700;Замена gps на планшете [model] в [city]: замена модуля gps от [name];Замена GPS;Замена модуля GPS;Ремонт GPS;Ремонт GPS модуля;Замена платы GPS;Ремонт платы GPS;;p;zamena-dinamika;490;30;45
remont-vibro;zamena-vibro;Планшет;30;500;Замена вибро на планшете [model] в [city]: замена модуля вибро от [name];Замена вибро;Замена модуля вибро;Ремонт вибро;Ремонт вибро модуля;;;;p;zamena-zadney-kryshki;790;45;60
diagnostics;diagnostika;Смартфон;40;0;Диагностика смартфона [model] в [city]: программная диагностика от [name];Диагностика;Программная диагностика;Комплексная диагностика;Полная диагностика;;;;p;zamena-derzhatelya-sim;790;60;90
remont-wifi;zamena-wi-fi-modulya;Смартфон;30;500;Замена wi-fi модуля на смартфоне [model] в [city]: замена wifi от [name];Замена Wi-Fi модуля;Замена WiFi;Ремонт WiFi платы;Замена Wi-Fi;;;;p;zamena-knopki-vklyucheniya;790;45;60
zamena-ekrana;zamena-displeya;Смартфон;60;900;Замена дисплея на смартфоне [model] в [city]: замена экрана от [name];Замена дисплея;Замена экрана;Замена тачскрина;Замена сенсорного стекла;Замена модуля экрана;Замена модуля дисплея;;p;zamena-gps;690;45;60
vosstanovlenie-tsepi-pitaniya;remont-tsepi-pitaniya;Смартфон;120;2800;Ремонт цепи питания на смартфоне [model] в [city]: ремонт цепи питания платы от [name];Ремонт цепи питания;Ремонт цепи питания платы;Ремонт цепи питания материнской платы;Замена элементов цепи питания;;;;p;zamena-vibro;490;30;45
remont-platy;zamena-materinskoj-platy;Смартфон;60;1300;Замена материнской платы на смартфоне [model] в [city]: замена системной платы от [name];Замена материнской платы;Замена системной платы;Замена платы;Ремонт материнской платы;;;;f;diagnostika;0;15;30
chistka;chistka;Смартфон;60;1100;Чистка на смартфоне [model] в [city]: полная чистка от [name];Чистка;Полная чистка;;;;;;f;zamena-wifi;490;30;45
razborka;razborka;Смартфон;45;600;Разборка на смартфоне [model] в [city]: полная разборка от [name];Разборка;Полная разборка;Полный разбор;Разбор;;;;f;zamena-displeya;890;60;90
remont-kontrollera;zamena-multikontrollera;Смартфон;60;1200;Замена мультиконтроллера на смартфоне [model] в [city]: ремонт мультиконтроллера от [name];Замена мультиконтроллера;Ремонт мультиконтроллера;;;;;;f;remont-tsepi-pitaniya;2790;120;180
remont-hdmi;zamena-razyoma-hdmi;Смартфон;45;600;Замена разъема hdmi на смартфоне [model] в [city]: замена hdmi от [name];Замена разъема HDMI;Замена HDMI;Замена модуля HDMI;Ремонт разъема HDMI;Ремонт HDMI;Ремонт модуля HDMI;;f;zamena-materinskoy-platy;1290;60;90
remont-usb;zamena-razyoma-usb;Смартфон;45;600;Замена разъема usb на смартфоне [model] в [city]: замена порта usb от [name];Замена разъема USB;Замена порта USB;Замена USB;Ремонт разъема USB;Ремонт портов USB;Ремонт USB;;f;chistka-telefona;1090;60;90
remont-shleyfa;zamena-shlejfa;Смартфон;45;700;Замена шлейфа на смартфоне [model] в [city]: ремонт шлейфа от [name];Замена шлейфа;Ремонт шлейфа;Замена шлейфа платы;Ремонт шлейфа платы;;;;f;razborka-telefona;590;45;60
zamena-akkumulyatora;zamena-akkumulyatora;Смартфон;15;100;Замена аккумулятора на смартфоне [model] в [city]: замена аккумуляторной батареи от [name];Замена аккумулятора;Замена аккумуляторной батареи;Замена батареи;Замена АКБ;;;;f;zamena-multikontrollera;1190;60;90
remont-razyoma-pitaniya;zamena-gnezda-pitaniya;Смартфон;60;800;Замена гнезда питания на смартфоне [model] в [city]: замена разъема питания от [name];Замена гнезда питания;Замена разъема питания;Ремонт гнезда питания;Ремонт разъема питания;Замена разъема зарядки;;;f;zamena-hdmi;590;45;60
remont-kamery;zamena-kamery;Смартфон;45;600;Замена камеры на смартфоне [model] в [city]: замена встроенной камеры от [name];Замена камеры;Замена встроенной камеры;Ремонт камеры;Замена фронтальной камеры;;;;f;zamena-usb;590;45;60
remont-microfona;zamena-mikrofona;Смартфон;30;500;Замена микрофона на смартфоне [model] в [city]: замена встроенного микрофона от [name];Замена микрофона;Замена встроенного микрофона;Ремонт микрофона;Ремонт встроенного микрофона;;;;f;zamena-shleyfa;690;45;60
remont-korpusa;zamena-korpusa;Смартфон;60;900;Замена корпуса на смартфоне [model] в [city]: ремонт корпуса от [name];Замена корпуса;Ремонт корпуса;Восстановление корпуса;;;;;f;zamena-batarei;90;15;30
remont-dinamika;zamena-dinamika;Смартфон;30;500;Замена динамика на смартфоне [model] в [city]: ремонт динамика от [name];Замена динамика;Ремонт динамика;;;;;;f;zamena-gnezda-pitaniya;790;60;90
remont-kryshki;zamena-zadnej-kryshki;Смартфон;60;800;Замена задней крышки на смартфоне [model] в [city]: замена крышки от [name];Замена задней крышки;Замена крышки;;;;;;f;zamena-kamery;590;45;60
remont-simholdera;zamena-derzhatelya-sim;Смартфон;45;800;Замена держателя сим на смартфоне [model] в [city]: замена сим лотка от [name];Замена держателя сим;Замена сим лотка;Ремонт держателя сим;Ремонт сим лотка;;;;f;zamena-mikrofona;490;30;45
remont-knopki;zamena-knopki-vklyucheniya;Смартфон;45;800;Замена кнопки включения на смартфоне [model] в [city]: замена кнопки от [name];Замена кнопки включения;Замена кнопки;Ремонт кнопки включения;Ремонт кнопки;;;;f;zamena-korpusa;890;60;90
remont-gps;zamena-gps;Смартфон;45;700;Замена gps на смартфоне [model] в [city]: замена модуля gps от [name];Замена GPS;Замена модуля GPS;Ремонт GPS;Ремонт GPS модуля;Замена платы GPS;Ремонт платы GPS;;f;zamena-dinamika;490;30;45
remont-vibro;zamena-vibro;Смартфон;30;500;Замена вибро на смартфоне [model] в [city]: замена вибромотора от [name];Замена вибро;Замена вибромотора;Замена модуля вибро;Ремонт вибро;Ремонт вибро модуля;Ремонт вибромотора;;f;zamena-zadney-kryshki;790;45;60
;diagnostika;Моноблок;40;0;Диагностика моноблока [model] в [city]: программная диагностика от [name];Диагностика;Программная диагностика;Полная диагностика;Проверка;;;;f;zamena-derzhatelya-sim;790;60;90
;zamena-matritsy;Моноблок;60;500;Замена матрицы на моноблоке [model] в [city]: замена дисплея от [name];Замена матрицы;Замена дисплея;Замена экрана;;;;;f;zamena-knopki-vklyucheniya;790;45;60
;zamena-termopasty;Моноблок;60;800;Чистка (замена термопасты) на моноблоке [model] в [city]: замена термопасты от [name];Чистка (замена термопасты);Замена термопасты;;;;;;f;zamena-gps;690;45;60
;;Моноблок;45;900;;Замена кулера;Замена кулера системы охлаждения;Замена кулера охлаждения;;;;;f;zamena-vibro;490;30;45
;;Моноблок;120;1800;;Ремонт цепи питания;Ремонт контроллера питания;Ремонт элементов цепи питания;Восстановление цепи питания;;;;;;;;
;zamena-videochipa;Моноблок;120;1800;Замена видеочипа на моноблоке [model] в [city]: ремонт видеокарты от [name];Замена видеочипа;Ремонт видеокарты;Замена видеоадаптера;;;;;;;;;
;;Моноблок;120;1500;;Замена северного моста;Замена южного моста;Замена чипа южного моста;Замена чипа северного моста;;;;;;;;
;;Моноблок;45;600;;Ремонт разъема;Замена разъема;;;;;;;;;;
;zamena-operativnoj-pamyati;Моноблок;30;500;Замена оперативной памяти на моноблоке [model] в [city]: замена озу от [name];Замена оперативной памяти;Замена ОЗУ;;;;;;;;;;
;;Моноблок;15;300;;Замена HDD/SSD;Замена винчестера;Замена жесткого диска;;;;;;;;;
;zamena-protsessora;Моноблок;30;500;Замена процессора на моноблоке [model] в [city]: замена цпу от [name];Замена процессора;Замена ЦПУ;Замена центрального процессора;;;;;;;;;
;;Моноблок;60;500;;Замена материнской платы;Ремонт системной платы;;;;;;;;;;
;;Моноблок;30;500;;Замена модуля Wi-Fi;Ремонт  адаптера Wi-Fi;Замена Wi-Fi;;;;;;;;;
;;Моноблок;45;800;;Установка операционной системы;Установка ОС;Установка ПО;Установка драйверов;Настройка ПО;;;;;;;
;;Моноблок;45;400;;Замена звуковой платы;Замена звукового адаптера;Замена звуковой карты;;;;;;;;;
;;Моноблок;45;500;;Замена камеры;Замена веб-камеры;Замена видеокамеры;;;;;;;;;
;;Моноблок;45;800;;Замена микрофона;Ремонт встроенного микрофона;;;;;;;;;;
;;Моноблок;15;300;;Замена блока питания;Ремонт блока питания;;;;;;;;;;
;diagnostika;Компьютер;40;0;Диагностика компьютера [model] в [city]: программная диагностика от [name];Диагностика;Программная диагностика;Полная диагностика;Проверка;;;;;;;;
;zamena-termopasty;Компьютер;30;800;Замена термопасты процессора на компьютере [model] в [city]: чистка от [name];Чистка (замена термопасты);Замена термопасты;;;;;;;;;;
;;Компьютер;45;900;;Замена кулера;Замена кулера системы охлаждения;Замена кулера охлаждения;;;;;;;;;
;;Компьютер;120;1800;;Ремонт цепи питания;Ремонт контроллера питания;Ремонт элементов цепи питания;Восстановление цепи питания;;;;;;;;
;;Компьютер;120;1600;;Замена видеочипа;Ремонт видеокарты;Замена видеоадаптера;;;;;;;;;
;;Компьютер;120;1500;;Замена северного моста;Замена южного моста;Замена чипа южного моста;Замена чипа северного моста;;;;;;;;
;;Компьютер;45;600;;Ремонт разъема;Замена разъема;;;;;;;;;;
;;Компьютер;15;300;;Замена оперативной памяти;Замена ОЗУ;;;;;;;;;;
;;Компьютер;15;300;;Замена HDD/SSD;Замена винчестера;Замена жесткого диска;;;;;;;;;
;;Компьютер;30;300;;Замена процессора;Замена ЦПУ;Замена центрального процессора;;;;;;;;;
;zamena-materinskoj-platy;Компьютер;40;800;Замена материнской платы на компьютере [model] в [city]: ремонт системной платы от [name];Замена материнской платы;Ремонт системной платы;;;;;;;;;;
;;Компьютер;45;500;;Установка операционной системы;Установка ОС;Установка ПО;Установка драйверов;Настройка ПО;;;;;;;
;;Компьютер;45;400;;Замена звуковой платы;Замена звукового адаптера;Замена звуковой карты;;;;;;;;;
;zamena-bloka-pitaniya;Компьютер;15;300;Замена блока питания (предохранителя) на компьютере [model] в [city]: ремонт блока питания от [name];Замена блока питания;Ремонт блока питания;;;;;;;;;;
;;Сервер;40;0;;Диагностика;Тестирование;Полная диагностика;Проверка;Полная проверка;Программная диагностика;;;;;;
;;Сервер;120;800;;Замена компонентов материнской платы;Замена BGA компонентов;Замена SMD;Замена компонентов основной платы;Замена компонентов базовой платы;;;;;;;
;;Сервер;120;1000;;Замена микросхем системной логики;;;;;;;;;;;
;;Сервер;60;1000;;Замена BIOS;Замена БИОС;Замена микросхем BIOS;Замена микросхем БИОС;;;;;;;;
;;Сервер;60;800;;Замена сокетов памяти;Замена слотов PCI-E;Замена слотов AGP;Замена слотов расширения;;;;;;;;
;;Сервер;30;500;;Замена блока питания;;;;;;;;;;;
;;Сервер;120;1800;;Замена северного моста;Ремонт южного моста;Замена  южного моста;Ремонт северного моста;;;;;;;;
;diagnostika;Фотоаппарат;40;0;Диагностика фотоаппарата [model] в [city]: тестирование от [name];Диагностика;Тестирование;Полная диагностика;Проверка;Программная диаогностика;;;;;;;
;;Фотоаппарат;60;500;;Замена разъёма ;Замена разъёма зарядного устройства;Замена разъёма hdmi;Замена разъёма mini-hdmi;Ремонт разъёма зарядного устройства;;;;;;;
;remont-vspyshki;Фотоаппарат;60;800;Ремонт вспышки на фотоаппарате [model] в [city]: ремонт светодиодной вспышки от [name];Ремонт вспышки;Ремонт светодиодной вспышки;Восстановление вспышки;Восстановление светодиодной вспышки;Замена платы вспышки;;;;;;;
;zamena-zhk-displeya;Фотоаппарат;60;1500;Замена жк дисплея на фотоаппарате [model] в [city]: ремонт дисплея от [name];Замена ЖК дисплея;Ремонт дисплея ;Замена ЖК экрана ;Замена экрана ;Замена LCD экрана ;;;;;;;
;zamena-ccd-cmos-matritsy;Фотоаппарат;120;1800;Замена ccd/cmos матрицы на фотоаппарате [model] в [city]: ремонт пзс/кмоп матрицы от [name];Замена CCD/CMOS  матрицы;Ремонт ПЗС/КМОП матрицы;Замена матрицы ПЗС/КМОП;Замена матрицы CCD/CMOS;Замена CCD/CMOS матрицы;;;;;;;
;zamena-bajoneta;Фотоаппарат;30;300;Замена байонета на фотоаппарате [model] в [city]: ремонт крепления объектива от [name];Замена байонета;Замена крепления объектива;Ремонт/замена байонета;Ремонт/замена крепления объектива;Замена кольца байонета;;;;;;;
;zamena-zatvora;Фотоаппарат;120;1100;Замена затвора на фотоаппарате [model] в [city]: замена/ремонт шторок от [name];Замена затвора ;Замена/ремонт шторок;Замена шторно-щелевго затвора;замена/ремонт затвора;Замена шторки ;;;;;;;
;;Фотоаппарат;120;1000;;Замена материнской платы;Замена основной платы;Замена базовой платы;Замена основной микросхемы;;;;;;;;
;;Фотоаппарат;60;1400;;Настройка автофокуса ;Калибровка автофокуса;Юстировка автофокуса;Настройка фокусировки ;Калибровка фокусировки;;;;;;;
;;Фотоаппарат;120;1000;;Устранение битых пикселей на CCD/CMOS матрице;Маскировка битых пикселей на CCD/CMOS матрице;Скрытие битых пикселей на CCD/CMOS матрице;Устранение поврежденных пикселей на CCD/CMOS матрице;Маскировка поврежденных пикселей на CCD/CMOS матрице;;;;;;;
;;Фотоаппарат;120;1200;;Ремонт платы электроники;Ремонт материнской платы;Восстановление платы электроники;Восстановление материнской платы;Пайка платы электроники;;;;;;;
;;Фотоаппарат;60;1500;;Чистка CCD/CMOS матрицы;Чистка матрицы CCD/CMOS;Очистка CCD/CMOS матрицы;Очистка матрицы CCD/CMOS;Чистка ПЗС/КМОП матрицы;;;;;;;
;diagnostika;Игровая приставка;40;0;Диагностика на playstation [model] в [city]: программная диагностика от [name];Диагностика;Программная диагностика;Полная диагностика;;;;;;;;;
;;Игровая приставка;30;800;;Замена разъема;Ремонт разъема;;;;;;;;;;
;;Игровая приставка;180;6000;;Замена материнской платы;Замена системной платы;Замена основной платы;;;;;;;;;
;;Игровая приставка;30;800;;Обновление ПО;Обновление программного обеспечения;;;;;;;;;;
;remont-bly-ray;Игровая приставка;60;2200;Ремонт bly-ray на playstation [model] в [city]: ремонт дискового привода от [name];Ремонт Bly-Ray;Ремонт дискового привода;Ремонт Bly-Ray привода;;;;;;;;;
;zamena-termopasty;Игровая приставка;30;800;Чистка (замена термопасты) на playstation [model] в [city]: замена термопасты от [name];Чистка (замена термопасты);Замена термопасты;Замена теплоотводящей пасты;;;;;;;;;
;;Принтер;40;0;;Диагностика;Тестирование;Полная диагностика;;;;;;;;;
;;Принтер;90;1600;;Замена узла формирования изображения;Замена узла печати;;;;;;;;;;
;;Принтер;60;800;;Замена узла сканирования изоражения;Замена узла сканирования;;;;;;;;;;
;;Принтер;120;1800;;Замена узла подачи бумаги;Замена узла приема бумаги;;;;;;;;;;
;;Принтер;40;300;;Замена резинового вала;Замена термопленки;;;;;;;;;;
;;Принтер;120;1300;;Замена узла закрепления;Замена узла фиксации;;;;;;;;;;
;;Принтер;45;600;;Замена шестерни редуктора;Замена редуктора;Замена шестерни;;;;;;;;;
;;Принтер;45;600;;Замена блока лазера;Замена лазера;Замена лазерного блока;;;;;;;;;
;;Принтер;90;1300;;Замена платы питания;Замена блока питания;;;;;;;;;;
;;Принтер;40;1000;;Замена головки;Замена печатающей головки;;;;;;;;;;
;;Телевизор;30;0;;Диагностика;;;;;;;;;;;
;;Телевизор;60;1000;;Замена матрицы;;;;;;;;;;;
;;Телевизор;120;1200;;Замена тюнера;;;;;;;;;;;
;;Телевизор;45;1000;;Замена разъема;;;;;;;;;;;
;;Телевизор;120;800;;Замена блока питания;;;;;;;;;;;
;;Телевизор;60;700;;Ремонт блока управления;;;;;;;;;;;
;;Телевизор;60;1200;;Замена контроллера;;;;;;;;;;;
;;Телевизор;60;1200;;Замена лампы подсветки;;;;;;;;;;;
;;Телевизор;60;800;;Замена Wi-Fi;;;;;;;;;;;
;;Телевизор;45;800;;Прошивка блока управления;;;;;;;;;;;
;;Телевизор;180;2000;;Ремонт цепи питания;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
