Дата;Имя;Оценка;Комментарий
23.03.2018;Евгении;4;Не плохой сервис. Сдал в ремонт ноутбук. Рассказали о методике ремонта вполне развернуто, цену выставили тоже приемлемую. В указанный день я забрал свои аппарат полностью исправным. Спасибо, думал придется покупать новый. Теперь планирую отремонтировать мамин сломанный смартфон и продать. Мастерам вполне доверяю. Видно, что мастера своего дела.
15.02.2018;Анастасия;5;Полетела прошивка. В интернете прочитала что такие аппараты перепрошить очень сложно. Но, я все же решила обратиться в этот сервис. Меня успокоили и сказали, что все же смогут помочь. И не обманули. Очень скоро я получила свои мобильник полностью исправным. Я очень рада, потому как денег на покупку нового пока нет. Кстати, ремонт обошелся сосем не дорого.
16.05.2018;Ирина;5;"Во время гроз полетел ноутбук, забыл выдернуть из розетки и он перестал включаться. Решили, что уже не спасти и придется покупать новый. Но, мастера меня успокоили и уверили, что все исправят. В итоге, очень быстро заменили сгоревшие детали и ноут снова начал работать. Я рада и очень благодарна этому сервису за оперативное и качественное ""вмешательство"""
06.04.2018;Светлана;5;Перестал заряжаться ноутбук. Заряд то шел, то терялся. Видимо расшатался разъем. По гарантии ремонтировать отказались, потому что моя вина. Я искал сервис, где мне могут помочь. Многие отказывали, а здесь с радостью согласились помочь. Объяснили, что именно сломалось, что меня дивило. Очень благодарна сотрудникам. Настоящие мастера своего дела.
17.04.2018;Юра;5;"Случайно уронил смартфон в воду. Самостоятельная сушка не дала результатов, уже попрощался с аппаратом, но все же решил поити в сервис. О чем не жалею. Мне помогли ""оживить"" его за относительно не большую цену. После этого я отдал в ремонт старый телефон, но пока не успел забрать. Надеюсь тоже все будет отлично. Спасибо большое."
02.05.2018;Семен;5;Редко пишу отзывы, но тут не могу промолчать. Потому что то, что произошло с моим ноутбуком не поддается объяснению. В один прекрасный день от просто перестал реагировать на команды. Экран горел, а реакции ноль. Ничего не помогало: ни перезагрузка, ни снятие батареи и т.д. В магазине где я его покупал даже брать на платныи ремонт не стали (что странно), поэтому я искал сервис самостоятельно. И именно тут мне помогли. За считанные дни привели мои ноут в порядок, оказалось вирус блокировал доступ. Спасибо вам ребята за то, что в супер мастера.
08.04.2018;Мария;5;Полетела камера на ноутбуке. Изображение было, но ничего не понять. Я отдала его мастерам и очень рада. Стоимость ремонта меня приятно порадовала, а качество работ до сих пор приводит в восторг. Я думала придется ждать больше месяца, а на деле оказалось лишь чуть больше 14 дней. Я получила свои ноут в отличном состоянии, с хорошей новой камерой.
22.02.2018;Ульяна;5;"Смартфон перестал держать зарядку. Даже когда я им не пользовалась, батарея падала на глазах. Я уже расстроилась, что придется выбрасыать и покупать нови. Однако, решилась обратиться в сервис. И теперь понимаю, что не зря. Мне перепрошили смартфон, поставили антивирус и дали советы по использованию. Одним словом, за небольшие деньги, мне ""сделали"" новый телефон. Я самая счастливая."
13.01.2018;Данила;4;Ноутбук перестал читать диски. Оказалось, что он забит пылью. Я пробовал почистить сам, ватной палочкой, но это было тщетно. Поэтому, я обратился за помощью в сервис. Мне все почистили и теперь, я смотрю фильмы и играю в игры без всяких проблем. Ребята просто молодцы, за столь не продолжительное время все исправили и дали советы по уходу за ноутом.
29.01.2018;Ульяна;4;На смартфоне резко перестал работать микрофон. Я собеседника слышала, а меня нет. Парень сам разбирал аппарат, но без толку. Хотели уже купить другой, но решились на ремонт, потому как телефончик был дорогой, да и подарок это. Отдали в данный сервис и уже через не продолжительное время забрали полностью исправным. Звоню и не нарадуюсь!
12.04.2018;Оля;5;На планшете стал пропадать wi-fi. Сам по себе. Особенно это напрягало при просмотре кино. Приходилось перезагружать и тратить время. Самостоятельно починить и обнаружить поломку не получалось. Поэтому, муж решил обратиться в сервис. И что удивительно, нам очень скоро помогли. И при этом, не пришлось платить кучу денег. Радости нет предела. Спасибо мастерам.
12.01.2018;Евгений;4;С ноутом стало твориться что-то невообразимое. Программы слетали и устанавливались сами по себе. Оказалось, что вирус уничтожает его изнутри. Сами сделать ничего не могли. Пришлось искать сервис. Частники помочь не могли, только тянули деньги. А тут нам сделали все недорого и очень оперативно. До сих пор под впечатлением. Спасибо.
18.04.2018;Кирилл;4;Раскололи корпус на ноутбуке. В интернет найти на замену не смогли, поэтому обратились в сервис. Нам все заменили, причем за небольшую сумму, что не могло не порадовать. Ноут смотрится как новенький, даже не скажешь, что побывал в ремонте. Мастера грамотные, все объяснили и успокоили, что на работу аппарата это не повлияет. Так и вышло. Спасибо большое.
11.02.2018;Михаил;5;"Со временем ноут стал очень сильно гудеть во время работы. Оказалось, что кулер забился от грязи. Сами разбирать побоялись, потому как техникои на ""вы"". Отдал в сервис на чистку. Ребята все почистили быстро и недорого. Теперь работает как после покупки, бесшумно. Я рад и счастлив. Благодарю."
09.04.2018;Ярослав;4;Полетела плата на Айфоне. Купить нови возможности не было, да и желания менять друга тоже. Поэтому, я отдал его в данный сервис и был приятно удивлен. Мне его отремонтировали очень быстро и не дорого. Надеюсь он мне прослужит очень долго. Спасибо вам ребята.
17.01.2018;Павел;5;Уронил планшет. Друзья сказали, что модель редкая и ремонтировать будет дорого. Но, я все решился и обратился в этот сервис. Мастера меня успокоили и заверили, что все исправят. Так и получилось. Уже через пару недель я получил свои планшет полностью в рабочем состоянии. Теперь я его берегу и храню только в чехле. Рад, что обратился именно к вам.
10.05.2018;Валентин ;5;Экран на смартфоне после падения стал вести себя странно: звонил сам по себе, удалял приложения и т.д. Пришлось отдавать в сервис. Здесь мне помогли с ремонтом. Пара дней не большая сумма денег исправили ситуацию. Я рад и рекомендую всем обращаться в ребятам, они помогут и дадут дельные советы по эксплуатации.
13.02.2018;Денис;4;Треснул экран на телефоне. Модель не дешевая, поэтому дорога мне. Купить новый возможности не было, поэтому пошел в сервис. Долго искал куда обратиться. Остановил свой выбор на этом и ни разу не пожалел. Мне все доступно объяснили, в чем именно поломка и гарантировали отличный результат. Теперь мои телефон работает как новый и менять я его не планирую.
19.04.2018;Наталья;5;Ноутбук в один прекрасный день стал работать только от зарядки. Как только отключала, сразу тух. Меня это испугало, потому как денег на новый не было. Мне посоветовали этот сервисный центр. Очень скоро сотрудники разобрались в чем проблема и все исправили. Теперь я не нарадуюсь. Спасибо вам большое.
22.01.2018;Алеша;4;Живу в частном доме. И в грозу молния попала в наш дом. В этот момент в сети были ноутбук и телефон. В итоге, работать перестало все. Я был в шоке. Но, как оказалось зря. Ребята в сервисном центе все скоро починили и рассказали, о мерах предосторожности в грозу. Спасибо вам большое. Если бы не вы, то я остался без доступа к мировой паутине.
10.03.2018;Олег;4;Собака погрызла экран на планшете. Не реагировал вообще ни на какие команды. В интернет-магазине найти такой экран не смогла. Поэтому, пришлось обращаться в сервис. Мне все очень быстро и недорого заменили. И не скажешь, что он побывал в пасти у собаки. Огромное вам спасибо. Не ожидала.
