Код;Имеет ПВЗ;Максимальный вес;Страна;Регион;Город;Улица;Дом;Офис;Эл. почта;Телефоны;График работы;Наименование;Описание;Комментарий к адресу;Ближайшая остановка;Ближайшая остановка метро;
ALM6;Да;;Казахстан;Алма-Атинскаяобл.;Алматы;ул. Шевченко;118;129;Z.Almagambetova@cdek.ru;+77272440550, +72772440515;Пн-Пт 09:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Шевченко;;;;;||
KAR1;Да;;Казахстан;Карагандинскаяобл.;Караганда, Карагандинская обл.;пр-т Бухар Жирау;96;;;+77212507150, +77212376555;Пн-Пт 09:00-19:00, Сб 10:00-16:00;На Бухар Жырау;;;;;||
AKT3;Да;;Казахстан;Казахстан;Актобе, Казахстан;пр-т Абулхаир Хана;3;23;;+77132739934, +77757632682;Пн-Пт 09:00-19:00, Сб 10:00-16:00;На Абулхаир хана;;;;;||
AKT5;Да;;Казахстан;Мангистауская обл.;Актау, Мангистауская  обл;26-й Микрорайон;58;109;;+787292304050;Пн-Пт 09:00-19:00, Сб 10:00-16:00;На 26 Микрорайоне;;;;;||
ALM8;Да;;Казахстан;Алма-Атинскаяобл.;Алматы;ул. Айтеки Би;187;;;+77273122638, +77763168168;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Айтеке би;;вход с Шафика Чокина 114;;;||
SHYM5;Да;;Казахстан;Казахстан;Шымкент, Казахстан;ул. Жангельдина;5а;;;+77777565636, +77252565636;Пн-Пт 09:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Жангельдина;;;;;||
KOS2;Да;;Казахстан;Казахстан;Костанай;ул. Амангельды;93б;108;;+77142391196;Пн-Пт 09:00-19:00, Сб 10:00-16:00;На Амангельды;;;;;||
URA1;Да;;Казахстан;Западно-Казахстанскаяобл.;Уральск, Западно-Казахстанская обл.;ул. Жамбыла;38/4;;B.Jumin@edostavka.ru;+77071220530;Пн-Пт 09:00-19:00, Сб 10:00-16:00;На Жамбыла;;;;;||
TAR4;Да;;Казахстан;Жамбылская обл.;Тараз, Жамбылская обл;ул. Толе би;93/3;;;+77262970997;Пн-Пт 09:00-19:00, Сб 10:00-16:00;На Толе би;;;;;||
ALM9;Да;;Казахстан;Алма-Атинскаяобл.;Алматы;ул. Кунаева;18/2;102;cds@cdek.ru;+77272736910, +77072383001;Пн-Пт 08:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Кунаева;;;;;||
TAL1;Да;;Казахстан;Алма-Атинскаяобл.;Талдыкорган, Алматинская обл;ул. Казахстанская;101;;;+77282270808, +77004270808;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Казахстанской;;;;;||
ALM10;Да;;Казахстан;Алма-Атинскаяобл.;Алматы;пр. Райымбека;212/1;113;Tovkach.I@cdek.ru;+77273300329;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Райымбека;;;;;||
SHET1;Да;;Казахстан;Казахстан;Кокшетау, Казахстан;пр-т Аблай Хана;11;;A.Aikenov@cdek.ru;+77162443138;Пн-Пт 09:00-19:00, Сб 09:00-16:00;На Аблай хана;;Центральная улица, пристрой к жилому многоэтажному дому, крыльцо на территории стоянки.;Жаксы;;||
ALM11;Да;30.0;Казахстан;Алма-Атинскаяобл.;Алматы;ул. Кабдолова;16/ 1;;E.Amirzhanov@cdek.ru;+77470940082;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;Кабдолова;;Напротив ТД Гранд Парк;Гран Парк;;||
ALM12;Да;100.0;Казахстан;Алма-Атинскаяобл.;Алматы;ул. Тимирязева;42, корп. 16, блок 1;11;atakent@cdek.ru;+77272752401, +77272752592;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;Атакен;;;ул. Манаса, ул. Байзакова;;||
AST10;Да;;Казахстан;Акмолинскаяобл.;Астана, Акмолинская обл.;ул. Брусиловского;5;ВП 13;E.arinov@cdek.ru;+77172779279;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;Брусиловского;;Пересечение улиц Иманова и Брусиловского, За ресторанов VERDI со стороны улицы Брусиловского. Вдоль дороги.;Брусиловского;;||
AST12;Да;;Казахстан;Акмолинскаяобл.;Астана, Акмолинская обл.;ул. Желтоксан;3;ВП 1;e.dandesov@cdek.ru;+77172642233;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Желтоксан;;ЖК «Esil Apartments» напротив ресторана «Anor»;Конгресс Хол;;||
ALM13;Да;;Казахстан;Алма-Атинскаяобл.;Алматы;мкр-н Самал-1;18;1;kuttubekov.k@cdek.ru;+77273545488, +77273545499;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Жолдасбекова;;"Напротив Достык Плаза, возле кафе ""Дегирмен""";Кондитерская фабрика, Жолдасбекова;;||
UST3;Да;;Казахстан;Восточно-Казахстанскаяобл.;Усть-Каменогорск, Восточно-Казахстанская обл.;ул Мызы;19/1;;na.filippova@cdek.ru;+77771382121, +77771314747;Пн-Пт 10:00-19:00, Сб 10:00-16:00;Мызы;;Район Детской стоматологии, возле Городской больницы №2;Остановка Поликлиника, или У-ка вокзал;;||
PET3;Да;;Казахстан;Северо-Казахстанскаяобл.;Петропавловск, Северо-Казахстанская обл.;ул. Пушкина;37;;cdek.ck@yandex.ru;+77152632095;Пн-Пт 09:00-19:00, Сб 10:00-16:00;На Пушкина;;рядом с рестораном «Жар-Жар»;«Детская Областная больница»;;||
SSM2;Да;;Казахстан;Восточно-Казахстанская обл.;Семей (Семипалатинск), Восточно-Казахстанская обл;ул. Жумабаева;55;;K.zayneeva@cdek.ru;+77222562459, +77222524424;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Жумабаева;;БЦ «Астана Финанс» 1-этаж;Торговый дом, Жумабаева, Найманбаева;;||
ALM14;Да;50.0;Казахстан;Алма-Атинскаяобл.;Алматы;ул. Шолохова;29;;m.atagulova@cdek.ru;+77053003600;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Шолохова;;Торговый центр «Жибек Жолы» (бывший ТЦ Mango) на пересечении ул.Шолохова 29/ Сейфуллина 9А.;Шолохова;;||
BISH1;Да;;Киргизия;Кыргызстан;Бишкек, Кыргызстан;ул. Раззакова;22;;E.Leonova@cdek.ru;+996555986610, +996312986610, +996777986610, +996312986620;Пн-Пт 09:00-20:00, Сб 10:00-16:00, Вс 10:00-16:00;На Раззакова;;;;;||
BISH2;Да;;Киргизия;Кыргызстан;Бишкек, Кыргызстан;ул. Токтогула;90;5;;+996705882335, +996312887777;Пн-Пт 10:00-19:00;На Токтогула;;;;;||
OSHSH1;Да;;Киргизия;Ошскаяобл.;Ош, Ошская обл;пр. А.Масалиева;30;4;D.Kulushov@cdek.ru;+996555497933, +996322286610;Пн-Пт 09:00-18:00;Проспект А. Масалиева;;От спорт комплекса «Алыш» 30м в северном направлении вдоль проспекта Масалиева, на ряду авиакасс расположенных на первом этаже 4-х этажного жилого дома. Вход со стороны проспекта Масалиева.;спорт комплекс «Алыш»;;||
BISH3;Да;;Киргизия;Кыргызстан;Бишкек, Кыргызстан;Про-т Чуй;257;13;u.tadzhieva@cdek.ru;+996312975588, +996312975599;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;Турусбекова;;На пересечении проспекта Чуй и улицы Турусбекова. Вход - с улицы Турусбекова, напротив Международного Университета в Кыргызстане. Третье крыльцо от проспекта Чуй.;Филармония;;||
BISH4;Да;;Киргизия;Кыргызстан;Бишкек, Кыргызстан;ул. Юнусалиева;160/1;;u.baryktabasov@cdek.ru;+996312886666, +996707886660;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Юнусалиева;;;5-й микрорайон;;||
BISH5;Да;;Киргизия;Кыргызстан;Бишкек, Кыргызстан;ул. Горького;154;;g.dzhusupova@cdek.ru;+996312216666;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Горького;;Офис находится на улице Горького, между улицами Панфилова (130 метров) и Абая (90 метров).;Остановка Панфилова;;||
GUA1;Да;;Китай (КНР);Гуандун;Гуанчжоу, Гуандун;Джанцьянлу;47;;;+8613926237360, +862037324345;Пн-Пт 08:00-20:00, Сб-Вс 10:00-20:00;Джанцьянлу;;;;;||
CZN1;Да;;Китай (КНР);Шаньдун;Цзинань, Шаньдун;ERHUAN XILU;7 - 1;401;;+8618888291405;Пн-Сб 09:00-17:00, Вс 10:00-12:00;Erhuan Xilu Meilihujiedao;;;;;||
IUU1;Да;;Китай (КНР);Чжэцзян;Иу, Чжэцзян;р-н Линюн Сан;2;1;zongxiang.xu@cdek.ru;+8657985605979;Пн-Вс 09:00-17:30;???????;;;;;||
XXX1;Да;;Китай (КНР);Хэйлунцзян;Хэйхэ, Хэйлунцзян;QU,ZHONGCHAOYIQI;5-1;;;+864568780666;Пн-Вс 08:00-20:00;Qu,Zhongchaoyiqi;;;;;||
MAN1;Да;;Китай (КНР);;Маньчжурия, Внутренняя Монголия;р-н. Син Хуа Юань;1;9;yonglong.tang@cdek.ru;+8615547078877;Пн-Вс 09:00-19:00;Маньчжурия Внутренняя Монголия;;;;;||
SUJ2;Да;;Китай (КНР);Хэйлунцзян;Суйфэньхэ, Хэйлунцзян;ул.Хой Ву;93;;;+8615946301091;Пн-Пт 08:00-17:00, Сб 08:00-13:00;Хой Ву лу;;;;;||
URU1;Да;;Китай (КНР);Уйгурский АО;Урумчи, Уйгурский АО;Янанлу;662;6168;zhouxinxue@cdek.ru;+869914870606;Пн-Пт 09:00-20:00, Сб-Вс 10:00-18:00;Янанлу;;;;;||
PEK3;Да;;Китай (КНР);Пекин;Пекин, Пекин;Р-н Чаоуанг, индустриальный парк;8;8416;;+8613321191100;Пн-Вс 09:30-18:00;Шибали диан;;;;;||
ZHEN2;Да;;Китай (КНР);Гуандун;Шэньчжэнь, Гуандун;Р-н Бао'ан, логистический парк Бао Юн;2;3A;mengliwen@cdek.ru;+8615112687755;Пн-Вс 09:00-18:00;Бао'Ан;;;;;||
ZHEN3;Да;;Китай (КНР);Гуандун;Шэньчжэнь, Гуандун;ул. Пиньгу;Хуа нан чэнг ихао Гуанчанг;4g016;iohnny.ke@cdek.ru;+8618566781548;Пн-Пт 09:00-16:00;Лонгань;;;;;||
CZI1;Да;;Китай (КНР);Чжэцзян;Цзиньхуа, Чжэцзян;CUNZHONG STREET;7;;;+8613732445217;Пн-Вс 09:30-18:00;Wucheng;;;;;||
BAO1;Да;;Китай (КНР);Хэбэй;Баодин, Хэбэй;ул. Фуронг юань;18;;;+8613522504470;Пн-Вс 08:30-18:30;Фумин;;;;;||
SHAN2;Да;;Китай (КНР);Шанхай;Шанхай;ул. Гуанг Фулин;переулок 658 - 202;1313;;+8613570284107;Пн-Пт 09:00-18:00;Янгпу;;;;;||
XAN1;Да;;Китай (КНР);;Ханчжоу, Чжэцзян;SHUSHAN;Cao Bridge;;;+8617089330052;Пн-Вс 09:30-18:30;Xiaoshan Shushan District;;;;;||
CGO1;Да;;Китай (КНР);Хэнань;Чжэнчжоу, Хэнань;ул. Нанянг;219;;song.xiaojin@cdek.ru;+8618037781974;Пн-Сб 09:00-18:00;Чженьджоу, Хэнань;;;;;||
XAR1;Да;;Китай (КНР);Хэйлунцзян;Харбин, Хэйлунцзян;ул. Нандинг;Даджонг вилла;6;a.verenin@cdek.ru;+79143313599, +8617745617331, +8615546210295;Пн-Сб 09:00-17:00;Харбин, Хулан;;;;;||
NGB1;Да;;Китай (КНР);;Нинбо, Чжэцзян;XIANGLIN WAN;7;;;+8618695338175;Пн-Сб 08:00-21:00;Yinzhou;;;;;||
GUA5;Да;;Китай (КНР);Гуандун;Гуанчжоу, Гуандун;Р-н Байюн, ул. сича;31;D1106;;+8618925186041;Пн-Вс 09:00-20:00;Сичалу;;;;;||
PEK4;Да;;Китай (КНР);Пекин;Пекин, Пекин;р-н.Чаоян, пр-т чаоянвай;Здание Тяньи;Рецепшен на 1-м этаже;;+8613522879788;Пн-Вс 13:00-22:00;Ябаолу;;;;;||
XAN2;Да;;Китай (КНР);;Ханчжоу, Чжэцзян;Р-н Сиаошаньул., зона эконом и тех развития, ул. Чуньчао;93;101;wangjiang@cdek.ru;+8657182502329;Пн-Сб 09:00-18:00;Ханчжоу Байхен;;;;;||
CHAO1;Да;;Китай (КНР);Гуандун;Чаочжоу, Гуандун;ул. Чантинг;38;;zhideqiang@cdek.ru;+8615622368123;Пн-Сб 09:00-18:00;Чаоджоу,Фенсин;;;;;||
XUM1;Да;;Китай (КНР);Гуандун;Хумень, Гуандун;BEIJIAFENGXINGYI STREET;6;;;+8615011006656, +8613760208111, +8613760202288;Пн-Вс 09:00-20:00;Beijiafengxingyi street;;;;;||
SZV1;Да;;Китай (КНР);Цзянсу;Сучжоу, Цзянсу;ул.Инчшуннан;93;;;+8613222999330;Пн-Сб 09:00-18:00;Сучжоу, Цзянсу;;;;;||
KHKHKH1;Да;;Китай (КНР);Хэйлунцзян;Хэйхэ, Хэйлунцзян;Айхуэй район, Ул. Синлинь,  Шуанчэн гоцзи юйцзинвань;11;121;liang.lili@cdek.ru;+8615246967233;Пн-Сб 09:00-19:00;Шуанчэн;;;;;||
PEK5;Да;;Китай (КНР);Пекин;Пекин, Пекин;Ул. Ябао, офисное здание Тенья даша;1 этаж;;;+8613522879788;Пн-Пт 09:00-19:00;Тенья;;;;Чаоян лу;||
SUY1;Да;;Китай (КНР);Хэйлунцзян;Суйфэньхэ, Хэйлунцзян;ул Чжэнь синькай Чжун июань цзицзы;2;;e.kirilin@cdek.ru;+8613029968259;Пн-Сб 08:30-17:30;Бейшан;;;;;||
SHAO1;Да;;Китай (КНР);;Шаосин, Чжэцзян;ул. Северная Хуаньша;48;;;+8617005758475;Пн-Сб 09:00-20:00;Чжуцзи;;Дяньшан парк, 2 подъезд со двора.;;;||
ZHEN7;Да;;Китай (КНР);Гуандун;Шэньчжэнь, Гуандун;ул. Хуананьчэн;Торговая зона 1;4G016;L.Jimmy@cdek.ru;+8618566781548;Пн-Пт 10:00-19:00;Хуанань;;;;;||
ZHEN8;Да;;Китай (КНР);Гуандун;Шэньчжэнь, Гуандун;ул. Хуацин;248;2;w.ming@cdek.ru;+8618566781548;Пн-Пт 08:00-22:00, Сб 10:00-16:00;Хуацин;;;;;||
SHAN3;Да;;Китай (КНР);Шанхай;Шанхай;Миньхан, ул. Чуньшэнь 1985;стр. 15, Офисное здание Фокус, стр. 2;117;;+8618616638120;Пн-Вс 10:00-18:00;Миньхан;;;;;||
DNN1;Да;;Китай (КНР);Хэйлунцзян;Дуннин, Хэйлунцзян;Хэсе цзяюань;21;;Zhang.Hailong@cdek.ru;+8604533755535;Пн-Пт 07:30-17:30, Сб 10:00-16:00;Хэсе;;;;;||
ZHEN9;Да;;Китай (КНР);Гуандун;Шэньчжэнь, Гуандун;ул. Фуюн, Ся Ши вэйгуаншэн 8 ган;8;102;ai.shenghua@cdek.ru;+8618664625533, +86075523577356;Пн-Сб 09:00-22:00;Фуюнцзе;;;;;||
ZHEN10;Да;;Китай (КНР);Гуандун;Шэньчжэнь, Гуандун;Р-н Баоан, Второй промышленный парк;17;A2;jiang.xiaoyu@cdek.ru;+8618300005813, +8613247614592;Пн-Сб 09:00-18:00;Второй промышоенный парк;;;;;||
NAN1;Да;;Китай (КНР);Цзянсу;Наньтун, Цзянсу;Р-н Бэйбэй, ул. сунсин, Новая площадь западная чать;3;113, 213;wuxiaoyan@cdek.ru;+8617625218260, +8615251316202;Пн-Пт 08:00-22:00, Сб 10:00-16:00;Наньтун (Уцзян);;;;;||
GUA6;Да;;Китай (КНР);Гуандун;Гуанчжоу, Гуандун;Р-н.Бай юн, ул.Хэлонг;138;1020-1021;Zhangzhen@cdek.ru;+8615011905678;Пн-Сб 09:00-20:00;Хэлун;;;;;||
SHAN4;Да;;Китай (КНР);Шанхай;Шанхай;Р-н хуанпу, ул. сизанг джон;24;H;Shuchen@cdek.ru;+8613661716712;Пн-Пт 09:00-17:30;Хуанпу;;;;;||
IUU5;Да;;Китай (КНР);Чжэцзян;Иу, Чжэцзян;Сичжань Дадао;875;;w.zhou@cdek.ru;+8613373826778;Пн-Сб 09:00-18:00;Сичжань Дадао;;;;;||
ZHEN11;Да;;Китай (КНР);Гуандун;Шэньчжэнь, Гуандун;Р-н Бао'ан, фу юн цзе да дао, дун фу вэй си цзе;2;1;y.xue@cdek.ru;+8613923874006;Пн-Сб 09:00-22:00;Дун фу вей Цзе;;;;;||
ZHEN12;Да;;Китай (КНР);Гуандун;Шэньчжэнь, Гуандун;р-н., Лун ган, Бань тянь цзе дао синь вэй цзай;2;6;w.zhuli@cdek.ru;+8618806642546;Пн-Сб 08:00-17:00;Бань тянь цзе дао;;;;;||
GUA7;Да;;Китай (КНР);Гуандун;Гуанчжоу, Гуандун;р-н., Бай юнь цзя хэ цзе ван ган у шэ чжан шуй гун е цюй;6;;o.lozovskyi@cdek.ru;+8618320058003;Пн-Сб 09:30-18:30;Ван Ган;;;;;||
SHAN5;Да;;Китай (КНР);Шанхай;Шанхай;р-н., Цинпу, ул., Xуэй лянь;2031;;Сh.zhiyong@cdek.ru;+8618916535118;Пн-Сб 08:30-18:00;Цинпу;;;;;||
WNZ2;Да;;Китай (КНР);;Вэньчжоу, Чжецзян;Р-н Лун вань, ул. Шан цзян цянь цзин цзя юань.;213;;Q.yan@cdek.ru;+8615826570328;Пн-Пт 08:30-17:30;Шан цзян;;;;;||
GUA8;Да;;Китай (КНР);Гуандун;Гуанчжоу, Гуандун;Р-н Бай юнь., ул.Сяо ган мин чжу бэй;8;;w.lin@cdek.ru;+8615013034588;Пн-Вс 09:00-22:00;Минчжу бэй;;;;;||
GUA9;Да;;Китай (КНР);Гуандун;Гуанчжоу, Гуандун;Район Байюнь, ул., Минчжу бэй;30;2;shenQingMing@cdek.ru;+8613766660203;Пн-Пт 08:00-22:00, Сб 10:00-18:00;Сяо ган;;;;;||
CHND1;Да;;Китай (КНР);Сычуань;Чэнду, Сычуань;Р-н. Ухоу ул. Южная Седу;6;3;Zhoutao@cdek.ru;+8613388187630;Пн-Пт 09:00-22:30, Сб 09:30-20:30;Ухоу;;;;;||
GUA11;Да;;Китай (КНР);Гуандун;Гуанчжоу, Гуандун;р-н, Паньюй, ул. Чжун чжэнь тань си, 22 переулок;3;101;ZhengXiaoPeng@cdek.ru;+8615999955589;Пн-Сб 08:00-22:00;Паньюй;;;;;||
GUA12;Да;;Китай (КНР);Гуандун;Гуанчжоу, Гуандун;Р-н, Бай юнь, ул. Си ча, хэн фэн цзе;68;Хун чэн Интернационал В203;ShiFaWei@cdek.ru;+8618676622001;Пн-Сб 08:30-20:30;Хун чэн;;;;;||
IRK1;Да;;Россия;Иркутская обл.;Иркутск;ул. Ширямова;24;;irkutsk@edostavka.ru;+73952486008, +79842718418;Пн-Сб 08:00-20:00, Вс 10:00-17:00;На Ширямова;;;;;||
ZLT1;Да;;Россия;Челябинская обл.;Златоуст;ул. Южно-Есаульская;8;;;+73513672190;Пн-Пт 09:00-19:00, Сб 10:00-16:00;На Южно-Есаульская;;;;;||
ABK1;Да;;Россия;Хакасия респ.;Абакан;ул. Чертыгашева;126;13;;+79532590324, +73902320324;Пн-Пт 10:00-19:00, Сб 10:00-16:00, Вс 11:00-15:00;На Чертыгашева;Зайти за угол;Зайти за угол.;;;||
ORN1;Да;;Россия;Оренбургская обл.;Оренбург;ул. Восточная;42/6;;orenburg@cdek.ru;+73532901060, +73532901050;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Восточной;;;;;||
SKT1;Да;;Россия;Коми респ.;Сыктывкар;ул. Гаражная;9;106;troikask@rambler.ru;+78212293882;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Гаражная;оплата наличными;;;;||
SCH1;Да;200.0;Россия;Краснодарский край;Сочи;ул. Пластунская;47а;;sochi@cdek.ru;+78005006873;Пн-Пт 10:00-19:00, Сб-Вс 10:00-18:00;На Пластунская;СДЭК (цоколь);;;;||
PSK1;Да;;Россия;Псковская обл.;Псков;ул. Льва Толстого;3;;s.rodionov@cdek.ru;+78112570005;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Толстого;;отдельная дверь между магнитом и Альфа страхование;;;||
NKZ1;Да;;Россия;Кемеровская обл.;Новокузнецк;ул. Кирова;109;;novokuzneck@edostavka.ru;+73843209549;Пн-Пт 09:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Кирова;;;;;||
LPC1;Да;;Россия;Липецкая обл.;Липецк;пл. Петра Великого;5;05;lipetsk@edostavka.ru;+74742744407, +74742771561;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Петра Великого;;;;;||
KRS1;Да;;Россия;Курская обл.;Курск;ул. Запольная;56;;kursk@cdek.ru;+74712551010, +74712310736;Пн-Пт 09:00-19:00, Сб 10:00-16:00;На Запольной;;;;;||
MSK2;Да;35.0;Россия;Москва;Москва;ул. Сергия Радонежского;29/31;;a.ostrovskaya@cdek.ru;+79258590365, +79104875057;Пн-Пт 10:00-20:00, Сб 10:00-18:00, Вс 10:00-16:00;«Радонеж»;ПВЗ Радонеж работает на прием коммерческих грузов весом до 35 кг.;"Выход из метро Площадь Ильича / Римская по указателям на ул С.Радонежского
Ориентир угловое  желтое двухэтажное здание аптека Фармариф, заворачиваем за угол, проходим Шоколадницу  и по правой стороне  ,входим в арку   После входа в арку с правой стороны.";;Площадь Ильича;||
KLN1;Да;;Россия;Московская обл.;Клин;ул. Спортивная;15/1;;;+74996536141, +78005551291;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Спортивной;;;;;||
PNZ1;Да;;Россия;Пензенская обл.;Пенза;ул. Суворова;111;А;penza@edostavka.ru;+79631094838, +78412458783;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Суворова;;;;;||
DBN1;Да;;Россия;Московская обл.;Дубна;пр-т Боголюбова;16а;;director-dubna@edostavka.ru;+79853050571;Пн-Пт 09:00-20:00, Сб 10:00-16:00;На Боголюбова;;;;;||
GOR1;Да;;Россия;Алтай респ.;Горно-Алтайск;ул. Чорос-Гуркина;45;;;+79139994060, +73882294060, +73882223240;Пн-Пт 09:00-19:00, Сб 10:00-16:00;На Чорос-Гуркина;;;;;||
NZHV1;Да;30.0;Россия;Ханты-Мансийский авт. округ;Нижневартовск;ул. Маршала Жукова;5;;variosh@gmail.com;+79129392595, +73466503567;Пн-Пт 09:00-19:00, Сб 10:00-16:00, Вс 10:00-14:00;На Маршала Жукова;;;;;||
SOL1;Да;;Россия;Белгородская обл.;Старый Оскол;мрн Дубрава-3;31а;12;;+79040963388;Пн-Пт 09:00-19:00, Сб 10:00-16:00, Вс 10:00-14:00;На мкр. Дубрава;"1 этаж (остановка автобусная ""Храм Сергия Радонежского"")";1 этаж;Храм Сергия Радонежского;;||
